City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
288,Trinidad,BO,-14.8333,-64.9,75.04,96,47,3.56,scattered clouds
289,Cidreira,BR,-30.1811,-50.2056,72.36,86,100,5.19,overcast clouds
290,San Cristobal,VE,7.7669,-72.225,68.16,66,8,1.41,clear sky
291,Salinopolis,BR,-0.6136,-47.3561,77.02,89,100,5.55,light rain
292,Amazar,RU,53.858,120.875,31.17,74,100,3.09,overcast clouds
293,Sechura,PE,-5.5569,-80.8222,72.07,72,77,11.88,broken clouds
294,Yerbogachen,RU,61.2767,108.0108,21.18,89,99,5.23,overcast clouds
295,Commerce,US,34.0006,-118.1598,81.05,57,0,8.05,clear sky
296,Takoradi,GH,4.8845,-1.7554,79.86,84,82,5.48,broken clouds
297,Torbay,CA,47.6666,-52.7314,27.57,77,100,5.99,overcast clouds
298,Mala,PE,-12.6581,-76.6308,70.74,83,6,3.71,clear sky
299,Realeza,BR,-25.7689,-53.5325,65.68,99,100,2.77,moderate rain
300,Shingu,JP,33.7333,135.9833,60.26,58,76,4.99,broken clouds
301,Sept-Iles,CA,50.2001,-66.3821,28.06,90,100,5.99,overcast clouds
302,Luwuk,ID,-0.9516,122.7875,86.47,65,100,3.31,overcast clouds
303,Ponferrada,ES,42.5466,-6.5962,52.21,89,100,5.01,overcast clouds
304,El Prat De Llobregat,ES,41.3278,2.0947,55.74,72,20,12.66,few clouds
305,Bambous Virieux,MU,-20.3428,57.7575,78.22,73,66,8.72,broken clouds
306,Prince Rupert,CA,54.3161,-130.3201,48.29,40,100,13.8,overcast clouds
307,Chifeng,CN,42.2683,118.9636,47.26,18,100,8.84,overcast clouds
308,Valdivia,CL,-39.8142,-73.2459,53.69,94,2,2.93,clear sky
309,Sioux Lookout,CA,50.1001,-91.917,29.05,98,100,5.23,overcast clouds
310,Manta,EC,-0.95,-80.7333,76.17,84,93,5.99,overcast clouds
311,Kurumkan,RU,54.3,110.3,26.37,74,100,0.81,overcast clouds
312,Suntar,RU,62.1444,117.6319,23.9,89,100,2.39,overcast clouds
313,Soyo,AO,-6.1349,12.3689,79.59,89,100,7.34,overcast clouds
314,Chapleau,CA,47.8405,-83.4034,27.91,99,100,3.0,overcast clouds
315,Monte Alegre,BR,-2.0078,-54.0692,74.01,97,98,3.62,light rain
316,Kolondieba,ML,11.0882,-6.8926,81.73,54,23,5.46,few clouds
317,Rovaniemi,FI,66.5,25.7167,27.81,68,100,5.75,light shower snow
318,Berlevag,NO,70.8578,29.0864,26.4,78,100,23.85,light snow
319,Staicele,LV,57.8364,24.75,32.09,93,99,3.96,overcast clouds
320,Manggar,ID,-2.8833,108.2667,86.61,60,65,4.27,broken clouds
321,Cerrito,CO,6.8432,-72.694,55.22,89,78,3.96,broken clouds
322,Kenitra,MA,34.261,-6.5802,43.56,81,62,5.41,broken clouds
323,Dori,BF,14.0354,-0.0345,85.6,12,71,12.1,broken clouds
324,Halifax,CA,44.6453,-63.5724,35.22,87,100,8.01,overcast clouds
325,Concepcion,CL,-36.827,-73.0498,55.2,71,0,10.36,clear sky
326,Moranbah,AU,-22.0016,148.0466,90.77,28,9,11.9,clear sky
327,Teguise,ES,29.0605,-13.564,59.22,77,0,11.5,clear sky
328,Dingle,PH,10.9995,122.6711,87.87,59,98,12.08,overcast clouds
329,Marsabit,KE,2.3284,37.9899,65.7,83,40,13.06,scattered clouds
330,Angoche,MZ,-16.2325,39.9086,75.24,87,25,4.03,scattered clouds
331,Padang,ID,-0.9492,100.3543,84.25,48,100,2.01,overcast clouds
332,Nagato,JP,34.3833,131.2,60.85,64,100,18.05,overcast clouds
333,Saiki,JP,32.95,131.9,61.65,67,100,15.79,overcast clouds
334,Manicore,BR,-5.8092,-61.3003,74.3,94,93,1.97,overcast clouds
335,Irtyshskiy,RU,58.3333,68.1333,33.35,88,100,17.54,overcast clouds
336,Mackay,AU,-21.15,149.2,87.67,65,4,8.05,clear sky
337,Sinnamary,GF,5.3833,-52.95,76.82,90,84,13.82,broken clouds
338,Banamba,ML,13.55,-7.45,84.49,37,96,5.97,overcast clouds
339,Tutoia,BR,-2.7619,-42.2744,76.69,87,99,4.54,overcast clouds
340,Martapura,ID,-3.4167,114.85,78.89,83,20,3.44,few clouds
341,Sao Filipe,CV,14.8961,-24.4956,69.49,72,48,7.65,scattered clouds
342,Nishihara,JP,26.1842,127.7558,74.48,60,75,23.02,broken clouds
343,Manavgat,TR,36.7867,31.4431,44.28,56,10,10.2,clear sky
